emp_no,first_name,last_name,title,from_date,salary,count
462770,Aamer,Spell,Staff,1989-10-27,80640,3
462770,Aamer,Spell,Senior Staff,1995-10-27,80640,3
272876,Aamer,Standera,Senior Staff,1991-12-30,40000,2
272876,Aamer,Standera,Staff,1985-12-30,40000,2
282485,Aamer,Strandh,Engineer,1986-03-14,40000,2
282485,Aamer,Strandh,Senior Engineer,1991-03-14,40000,2
235609,Aamer,Talmor,Senior Staff,1992-03-11,53897,2
235609,Aamer,Talmor,Staff,1985-03-11,53897,2
65292,Aamer,Thummel,Staff,1992-04-27,43542,2
65292,Aamer,Thummel,Senior Staff,2001-04-27,43542,2
80779,Aamod,Andreotta,Senior Staff,1995-05-06,69353,2
80779,Aamod,Andreotta,Staff,1989-05-06,69353,2
472414,Aamod,Anick,Senior Staff,2001-10-29,72890,2
472414,Aamod,Anick,Staff,1992-10-29,72890,2
70791,Aamod,Avouris,Senior Engineer,1994-09-24,51105,2
70791,Aamod,Avouris,Engineer,1989-09-24,51105,2
44610,Aamod,Cronan,Senior Engineer,1997-02-10,56065,2
44610,Aamod,Cronan,Engineer,1990-02-10,56065,2
97164,Aamod,Ghandeharizadeh,Engineer,1998-03-31,63386,2
97164,Aamod,Ghandeharizadeh,Assistant Engineer,1992-03-31,63386,2
471489,Aamod,Iisaku,Senior Staff,1994-08-08,74950,2
471489,Aamod,Iisaku,Staff,1989-08-08,74950,2
91005,Aamod,Kawashima,Staff,1989-11-18,80843,2
91005,Aamod,Kawashima,Senior Staff,1996-11-18,80843,2
492586,Aamod,Knightly,Senior Staff,2000-10-08,72707,2
492586,Aamod,Knightly,Staff,1992-10-08,72707,2
260969,Aamod,Leuchs,Staff,1987-08-05,40000,2
260969,Aamod,Leuchs,Senior Staff,1995-08-05,40000,2
445328,Aamod,Luce,Staff,1995-03-08,40000,2
445328,Aamod,Luce,Senior Staff,2002-03-08,40000,2
487114,Aamod,Marchegay,Senior Staff,2000-11-21,52178,2
487114,Aamod,Marchegay,Staff,1994-11-22,52178,2
294925,Aamod,Nergos,Senior Engineer,2000-01-11,40000,2
294925,Aamod,Nergos,Engineer,1995-01-11,40000,2
247408,Aamod,Perez,Engineer,1987-11-06,54944,2
247408,Aamod,Perez,Senior Engineer,1993-11-05,54944,2
243911,Aamod,Rahier,Engineer,1990-04-05,50999,2
243911,Aamod,Rahier,Senior Engineer,1999-04-05,50999,2
494473,Aamod,Suri,Assistant Engineer,1986-07-05,59639,3
494473,Aamod,Suri,Engineer,1993-07-05,59639,3
494473,Aamod,Suri,Senior Engineer,2000-07-05,59639,3
469518,Aamod,Thimonier,Staff,1989-03-13,79693,2
469518,Aamod,Thimonier,Senior Staff,1994-03-13,79693,2
452891,Abdelaziz,Bennet,Senior Staff,1996-03-18,48035,2
452891,Abdelaziz,Bennet,Staff,1987-03-19,48035,2
250821,Abdelaziz,Binkley,Senior Staff,1998-01-21,40000,2
250821,Abdelaziz,Binkley,Staff,1991-01-21,40000,2
12571,Abdelaziz,Candan,Assistant Engineer,1997-04-23,53163,2
12571,Abdelaziz,Candan,Engineer,2002-04-23,53163,2
285332,Abdelaziz,Chaudhury,Senior Staff,1998-07-20,69328,2
285332,Abdelaziz,Chaudhury,Staff,1991-07-20,69328,2
41147,Abdelaziz,Chimia,Senior Engineer,1992-08-14,40000,2
41147,Abdelaziz,Chimia,Engineer,1985-08-14,40000,2
449838,Abdelaziz,Cmelik,Engineer,1990-12-20,50795,2
449838,Abdelaziz,Cmelik,Senior Engineer,1998-12-20,50795,2
51639,Abdelaziz,Czap,Staff,1987-11-11,97345,2
51639,Abdelaziz,Czap,Senior Staff,1996-11-10,97345,2
437625,Abdelaziz,Demos,Engineer,1997-04-16,40000,4
443983,Abdelaziz,Demos,Senior Staff,1999-09-01,40000,4
443983,Abdelaziz,Demos,Staff,1992-08-31,40000,4
437625,Abdelaziz,Demos,Senior Engineer,2002-04-16,40000,4
464821,Abdelaziz,Fontet,Engineer,1995-11-06,70128,2
464821,Abdelaziz,Fontet,Senior Engineer,2001-11-05,70128,2
32180,Abdelaziz,Hofman,Senior Staff,1994-04-24,58455,2
32180,Abdelaziz,Hofman,Staff,1985-04-24,58455,2
24684,Abdelaziz,Junet,Engineer,1989-04-10,68564,2
24684,Abdelaziz,Junet,Senior Engineer,1994-04-10,68564,2
452574,Abdelaziz,Kampfer,Senior Engineer,1994-06-19,46011,2
452574,Abdelaziz,Kampfer,Engineer,1988-06-19,46011,2
255331,Abdelaziz,Kroha,Senior Staff,2002-03-28,45338,2
255331,Abdelaziz,Kroha,Staff,1997-03-28,45338,2
70311,Abdelaziz,Kugler,Staff,1987-02-16,40000,2
70311,Abdelaziz,Kugler,Senior Staff,1996-02-16,40000,2
251313,Abdelaziz,Limongiello,Staff,1993-03-08,45816,2
251313,Abdelaziz,Limongiello,Senior Staff,1999-03-08,45816,2
419504,Abdelaziz,Masamoto,Engineer,1989-06-26,49754,2
419504,Abdelaziz,Masamoto,Senior Engineer,1998-06-26,49754,2
25308,Abdelaziz,Mayerwieser,Engineer,1987-09-03,40000,2
25308,Abdelaziz,Mayerwieser,Senior Engineer,1993-09-02,40000,2
438514,Abdelaziz,McClure,Assistant Engineer,1991-06-15,40000,2
438514,Abdelaziz,McClure,Engineer,2000-06-14,40000,2
467620,Abdelaziz,Melichar,Senior Staff,2001-12-20,40000,2
467620,Abdelaziz,Melichar,Staff,1994-12-20,40000,2
487906,Abdelaziz,Menhoudj,Engineer,1995-04-30,74581,2
495770,Abdelaziz,Menhoudj,Engineer,1999-03-19,40000,2
480096,Abdelaziz,Percebois,Senior Engineer,1996-08-29,58001,2
480096,Abdelaziz,Percebois,Engineer,1987-08-30,58001,2
496772,Abdelaziz,Rahier,Senior Staff,1999-04-14,78446,2
496772,Abdelaziz,Rahier,Staff,1992-04-13,78446,2
222002,Abdelaziz,Rathonyi,Senior Engineer,1997-03-03,48713,2
222002,Abdelaziz,Rathonyi,Engineer,1989-03-03,48713,2
469365,Abdelaziz,Schiper,Staff,1988-01-28,54997,2
469365,Abdelaziz,Schiper,Senior Staff,1993-01-27,54997,2
98079,Abdelaziz,Stiles,Staff,1987-10-06,40000,2
98079,Abdelaziz,Stiles,Senior Staff,1992-10-05,40000,2
428672,Abdelaziz,Swiss,Senior Engineer,2002-03-25,40000,2
428672,Abdelaziz,Swiss,Engineer,1994-03-25,40000,2
490204,Abdelaziz,Waymire,Staff,1985-07-24,62220,2
490204,Abdelaziz,Waymire,Senior Staff,1990-07-24,62220,2
205568,Abdelghani,Aingworth,Senior Staff,1992-09-22,72325,2
205568,Abdelghani,Aingworth,Staff,1985-09-22,72325,2
38267,Abdelghani,Armand,Senior Engineer,2002-03-25,53738,2
38267,Abdelghani,Armand,Engineer,1997-03-25,53738,2
72724,Abdelghani,Asmuth,Engineer,1991-12-04,47713,2
72724,Abdelghani,Asmuth,Senior Engineer,2000-12-03,47713,2
286869,Abdelghani,Baik,Staff,1998-07-12,76414,3
99589,Abdelghani,Baik,Engineer,1991-07-27,48678,3
99589,Abdelghani,Baik,Senior Engineer,1999-07-27,48678,3
99804,Abdelghani,Benner,Assistant Engineer,1988-01-13,58433,3
99804,Abdelghani,Benner,Senior Engineer,2002-01-13,58433,3
99804,Abdelghani,Benner,Engineer,1995-01-13,58433,3
434084,Abdelghani,Cappello,Staff,1988-06-11,90879,2
434084,Abdelghani,Cappello,Senior Staff,1995-06-12,90879,2
453955,Abdelghani,Covnot,Senior Engineer,1994-07-26,45463,2
453955,Abdelghani,Covnot,Engineer,1987-07-26,45463,2
435012,Abdelghani,Decaestecker,Engineer,1993-12-11,40000,2
435012,Abdelghani,Decaestecker,Senior Engineer,2001-12-11,40000,2
94574,Abdelghani,Dulli,Staff,1985-09-09,41871,2
94574,Abdelghani,Dulli,Senior Staff,1991-09-09,41871,2
28770,Abdelghani,Farris,Engineer,1988-05-28,49773,2
28770,Abdelghani,Farris,Senior Engineer,1993-05-28,49773,2
274996,Abdelghani,Fioravanti,Engineer,1993-02-14,40000,2
274996,Abdelghani,Fioravanti,Senior Engineer,1998-02-14,40000,2
57324,Abdelghani,Gajiwala,Engineer,1994-08-01,55423,2
466074,Abdelghani,Gajiwala,Technique Leader,1992-07-22,40000,2
220945,Abdelghani,Georgatos,Senior Engineer,2000-09-25,58969,2
220945,Abdelghani,Georgatos,Engineer,1992-09-25,58969,2
206812,Abdelghani,Gyimothy,Engineer,1996-02-11,40000,2
206812,Abdelghani,Gyimothy,Senior Engineer,2001-02-10,40000,2
433158,Abdelghani,Hagimont,Senior Engineer,1998-05-24,45134,2
433158,Abdelghani,Hagimont,Engineer,1990-05-24,45134,2
416899,Abdelghani,Heijenga,Assistant Engineer,1989-05-26,42236,2
416899,Abdelghani,Heijenga,Engineer,1997-05-26,42236,2
229415,Abdelghani,Ibel,Engineer,1987-03-03,48782,2
229415,Abdelghani,Ibel,Senior Engineer,1992-03-02,48782,2
476816,Abdelghani,Joslin,Engineer,1996-09-16,60882,2
476816,Abdelghani,Joslin,Senior Engineer,2001-09-16,60882,2
51024,Abdelghani,Leaver,Senior Engineer,2000-07-19,56667,2
51024,Abdelghani,Leaver,Engineer,1992-07-19,56667,2
472787,Abdelghani,Leuchs,Engineer,1993-08-12,51210,2
472787,Abdelghani,Leuchs,Senior Engineer,1999-08-12,51210,2
208191,Abdelghani,Ligten,Engineer,1993-08-24,48888,2
208191,Abdelghani,Ligten,Senior Engineer,1999-08-24,48888,2
284167,Abdelghani,Merle,Senior Staff,1995-05-08,40000,2
284167,Abdelghani,Merle,Staff,1990-05-08,40000,2
54783,Abdelghani,Nannarelli,Senior Engineer,1991-01-08,53971,2
54783,Abdelghani,Nannarelli,Engineer,1986-01-08,53971,2
108053,Abdelghani,Nilsson,Senior Staff,2002-05-11,76316,2
108053,Abdelghani,Nilsson,Staff,1997-05-11,76316,2
419543,Abdelghani,Nitsch,Senior Staff,1995-03-27,63547,2
419543,Abdelghani,Nitsch,Staff,1990-03-27,63547,2
411224,Abdelghani,Ossenbruggen,Engineer,1993-04-17,41639,2
411224,Abdelghani,Ossenbruggen,Senior Engineer,1998-04-17,41639,2
478145,Abdelghani,Rande,Senior Staff,2001-12-30,71161,2
478145,Abdelghani,Rande,Staff,1994-12-30,71161,2
290946,Abdelghani,Reutenauer,Senior Staff,1998-11-30,72590,2
290946,Abdelghani,Reutenauer,Staff,1990-11-30,72590,2
54690,Abdelghani,Rijsenbrij,Senior Engineer,2002-07-28,86379,2
54690,Abdelghani,Rijsenbrij,Engineer,1993-07-28,86379,2
488068,Abdelghani,Sabnani,Senior Staff,1996-04-09,93207,2
488068,Abdelghani,Sabnani,Staff,1987-04-10,93207,2
106623,Abdelghani,Schaft,Engineer,1995-02-04,40000,2
106623,Abdelghani,Schaft,Senior Engineer,2000-02-04,40000,2
283209,Abdelghani,Seiwald,Senior Staff,1993-06-20,74913,2
283209,Abdelghani,Seiwald,Staff,1988-06-20,74913,2
408991,Abdelghani,Shanbhogue,Senior Staff,2000-06-24,54074,2
408991,Abdelghani,Shanbhogue,Staff,1993-06-24,54074,2
231355,Abdelghani,Silva,Engineer,1991-03-03,40000,2
231355,Abdelghani,Silva,Senior Engineer,1996-03-02,40000,2
429211,Abdelghani,Tchuente,Senior Engineer,1992-11-20,40000,2
429211,Abdelghani,Tchuente,Engineer,1985-11-20,40000,2
79972,Abdelghani,Thummel,Staff,1991-06-04,40000,2
79972,Abdelghani,Thummel,Senior Staff,1996-06-03,40000,2
286921,Abdelghani,Turnbull,Senior Engineer,1993-01-19,43422,2
286921,Abdelghani,Turnbull,Engineer,1987-01-20,43422,2
264390,Abdelghani,Waeselynck,Staff,1986-03-15,91248,2
264390,Abdelghani,Waeselynck,Senior Staff,1993-03-15,91248,2
484921,Abdelghani,Waleschkowski,Senior Engineer,1996-03-26,40827,2
484921,Abdelghani,Waleschkowski,Engineer,1989-03-26,40827,2
41674,Abdelghani,Yemenis,Engineer,1985-03-10,40000,2
41674,Abdelghani,Yemenis,Senior Engineer,1990-03-10,40000,2
231876,Abdelkader,Akazan,Staff,1995-02-14,40000,2
231876,Abdelkader,Akazan,Senior Staff,2000-02-14,40000,2
265903,Abdelkader,Angelov,Staff,1988-05-27,49831,2
265903,Abdelkader,Angelov,Senior Staff,1995-05-28,49831,2
31594,Abdelkader,Birta,Senior Staff,1998-09-05,40000,2
31594,Abdelkader,Birta,Staff,1991-09-05,40000,2
418553,Abdelkader,Caine,Senior Engineer,1996-02-20,46156,2
418553,Abdelkader,Caine,Engineer,1988-02-20,46156,2
84837,Abdelkader,Chandrasekhar,Staff,1992-04-04,40000,2
84837,Abdelkader,Chandrasekhar,Senior Staff,2001-04-04,40000,2
452576,Abdelkader,Chvatal,Staff,1985-09-17,48631,2
452576,Abdelkader,Chvatal,Senior Staff,1990-09-17,48631,2
38451,Abdelkader,Decleir,Engineer,1992-01-28,77762,2
38451,Abdelkader,Decleir,Senior Engineer,2000-01-28,77762,2
211510,Abdelkader,Demir,Engineer,1988-08-10,40000,3
281455,Abdelkader,Demir,Senior Engineer,1986-04-07,50554,3
211510,Abdelkader,Demir,Senior Engineer,1994-08-10,40000,3
453759,Abdelkader,Desikan,Engineer,1985-11-28,80329,2
453759,Abdelkader,Desikan,Senior Engineer,1993-11-28,80329,2
275126,Abdelkader,Dichev,Staff,1987-12-22,56868,2
275126,Abdelkader,Dichev,Senior Staff,1993-12-21,56868,2
406343,Abdelkader,Ecklund,Senior Engineer,2001-11-09,40000,2
406343,Abdelkader,Ecklund,Engineer,1992-11-09,40000,2
272281,Abdelkader,Fairtlough,Engineer,1994-02-24,40000,3
272281,Abdelkader,Fairtlough,Assistant Engineer,1987-02-24,40000,3
272281,Abdelkader,Fairtlough,Senior Engineer,2001-02-24,40000,3
50234,Abdelkader,Felder,Engineer,1985-12-14,40000,2
50234,Abdelkader,Felder,Senior Engineer,1993-12-14,40000,2
71994,Abdelkader,Hardjono,Senior Engineer,1999-07-29,40000,2
71994,Abdelkader,Hardjono,Engineer,1992-07-28,40000,2
11295,Abdelkader,Lanzelotte,Staff,1985-05-15,66622,2
11295,Abdelkader,Lanzelotte,Senior Staff,1990-05-15,66622,2
436372,Abdelkader,Leslie,Staff,1986-10-19,45073,2
436372,Abdelkader,Leslie,Senior Staff,1994-10-19,45073,2
210925,Abdelkader,Linnainmaa,Staff,1993-10-25,86979,2
210925,Abdelkader,Linnainmaa,Senior Staff,1998-10-25,86979,2
497721,Abdelkader,Lorho,Engineer,1994-01-10,40000,2
497721,Abdelkader,Lorho,Senior Engineer,2000-01-10,40000,2
299703,Abdelkader,Mansanne,Staff,1989-03-08,51717,2
299703,Abdelkader,Mansanne,Senior Staff,1998-03-08,51717,2
297891,Abdelkader,Marwedel,Staff,1991-12-03,40000,2
297891,Abdelkader,Marwedel,Senior Staff,2000-12-02,40000,2
259838,Abdelkader,Miake,Engineer,1992-10-09,40000,2
259838,Abdelkader,Miake,Senior Engineer,1999-10-10,40000,2
69928,Abdelkader,Nourani,Senior Staff,2000-04-09,40000,2
69928,Abdelkader,Nourani,Staff,1995-04-10,40000,2
69534,Abdelkader,Olano,Staff,1992-11-26,73833,2
69534,Abdelkader,Olano,Senior Staff,2000-11-26,73833,2
23018,Abdelkader,Polupanov,Senior Engineer,1994-01-24,54738,2
23018,Abdelkader,Polupanov,Engineer,1989-01-24,54738,2
232604,Abdelkader,Strandh,Staff,1990-08-19,48147,2
232604,Abdelkader,Strandh,Senior Staff,1999-08-19,48147,2
77689,Abdelkader,Swan,Senior Staff,1992-11-15,65233,2
77689,Abdelkader,Swan,Staff,1986-11-16,65233,2
25704,Abdelkader,Szmurlo,Senior Staff,2001-05-11,40000,2
25704,Abdelkader,Szmurlo,Staff,1992-05-11,40000,2
93433,Abdelkader,Tchuente,Staff,1985-04-16,88427,3
93433,Abdelkader,Tchuente,Senior Staff,1991-04-16,88427,3
408120,Abdelkader,Tchuente,Senior Engineer,1992-11-03,68944,3
236192,Abdelkader,Whitcomb,Engineer,1988-11-13,49430,2
236192,Abdelkader,Whitcomb,Senior Engineer,1993-11-13,49430,2
464075,Abdelwaheb,Angel,Senior Engineer,1998-11-02,40595,2
464075,Abdelwaheb,Angel,Engineer,1990-11-02,40595,2
474436,Abdelwaheb,Basawa,Senior Staff,2000-01-30,51693,2
474436,Abdelwaheb,Basawa,Staff,1991-01-30,51693,2
20450,Abdelwaheb,Binkley,Engineer,1987-11-09,41934,2
20450,Abdelwaheb,Binkley,Senior Engineer,1995-11-09,41934,2
434700,Abdelwaheb,Botman,Engineer,1987-01-15,40000,2
434700,Abdelwaheb,Botman,Senior Engineer,1996-01-15,40000,2
200108,Abdelwaheb,Chvatal,Engineer,1992-12-16,40000,2
200108,Abdelwaheb,Chvatal,Senior Engineer,2001-12-16,40000,2
266219,Abdelwaheb,Coullard,Staff,1991-12-07,95968,2
266219,Abdelwaheb,Coullard,Senior Staff,2000-12-06,95968,2
479432,Abdelwaheb,England,Assistant Engineer,1985-06-25,65360,3
479432,Abdelwaheb,England,Senior Engineer,1995-06-25,65360,3
479432,Abdelwaheb,England,Engineer,1990-06-25,65360,3
400120,Abdelwaheb,Frijda,Staff,1991-02-08,40000,2
400120,Abdelwaheb,Frijda,Senior Staff,2000-02-08,40000,2
53858,Abdelwaheb,Greibach,Staff,1991-11-01,66420,2
53858,Abdelwaheb,Greibach,Senior Staff,2000-10-31,66420,2
235326,Abdelwaheb,Gustavson,Senior Engineer,1995-01-08,66235,2
235326,Abdelwaheb,Gustavson,Engineer,1987-01-08,66235,2
75951,Abdelwaheb,Hiroyama,Senior Engineer,1999-10-02,53201,2
75951,Abdelwaheb,Hiroyama,Engineer,1990-10-02,53201,2
275710,Abdelwaheb,Hofmeyr,Staff,1994-07-20,51041,2
275710,Abdelwaheb,Hofmeyr,Senior Staff,2001-07-20,51041,2
12222,Abdelwaheb,Holburn,Staff,1987-08-15,55840,2
12222,Abdelwaheb,Holburn,Senior Staff,1996-08-14,55840,2
33674,Abdelwaheb,Impagliazzo,Staff,1995-05-26,54210,2
33674,Abdelwaheb,Impagliazzo,Senior Staff,2000-05-25,54210,2
69347,Abdelwaheb,Khasidashvili,Engineer,1989-07-07,44820,2
69347,Abdelwaheb,Khasidashvili,Senior Engineer,1997-07-07,44820,2
13586,Abdelwaheb,Klassen,Engineer,1989-07-18,40000,2
13586,Abdelwaheb,Klassen,Senior Engineer,1998-07-18,40000,2
452017,Abdelwaheb,Krider,Engineer,1991-04-06,53408,2
452017,Abdelwaheb,Krider,Senior Engineer,1997-04-05,53408,2
442515,Abdelwaheb,Langford,Senior Engineer,1995-04-05,40000,2
442515,Abdelwaheb,Langford,Engineer,1989-04-05,40000,2
451020,Abdelwaheb,Masada,Staff,1991-11-26,59794,2
451020,Abdelwaheb,Masada,Senior Staff,1997-11-25,59794,2
244831,Abdelwaheb,Mitchem,Senior Staff,2002-04-05,49335,2
244831,Abdelwaheb,Mitchem,Staff,1994-04-06,49335,2
86408,Abdelwaheb,Narlikar,Senior Staff,2001-01-15,47346,2
86408,Abdelwaheb,Narlikar,Staff,1994-01-15,47346,2
227746,Abdelwaheb,Paciorek,Senior Staff,1999-05-18,44534,2
227746,Abdelwaheb,Paciorek,Staff,1993-05-18,44534,2
450319,Abdelwaheb,Panienski,Engineer,1987-12-03,54555,2
450319,Abdelwaheb,Panienski,Senior Engineer,1994-12-03,54555,2
202184,Abdelwaheb,Papadias,Senior Engineer,2001-08-16,57594,2
202184,Abdelwaheb,Papadias,Engineer,1994-08-16,57594,2
206175,Abdelwaheb,Pashtan,Engineer,1994-05-31,40000,2
206175,Abdelwaheb,Pashtan,Senior Engineer,1999-05-31,40000,2
463010,Abdelwaheb,Prochazka,Senior Engineer,1996-05-07,55038,4
425011,Abdelwaheb,Prochazka,Senior Engineer,1999-05-21,40000,4
425011,Abdelwaheb,Prochazka,Engineer,1994-05-21,40000,4
463010,Abdelwaheb,Prochazka,Engineer,1991-05-08,55038,4
10509,Abdelwaheb,Riesenhuber,Senior Staff,1997-10-06,49292,2
10509,Abdelwaheb,Riesenhuber,Staff,1992-10-06,49292,2
409123,Abdelwaheb,Schaft,Senior Engineer,1994-09-01,56643,2
409123,Abdelwaheb,Schaft,Engineer,1987-09-01,56643,2
52227,Abdelwaheb,Sgarro,Senior Engineer,2000-07-10,70317,2
52227,Abdelwaheb,Sgarro,Engineer,1993-07-10,70317,2
461651,Abdelwaheb,Shihab,Engineer,1989-07-13,42756,2
461651,Abdelwaheb,Shihab,Senior Engineer,1995-07-13,42756,2
428044,Abdelwaheb,Sommen,Senior Staff,1997-02-14,59348,2
428044,Abdelwaheb,Sommen,Staff,1989-02-14,59348,2
410517,Abdelwaheb,Zirintsis,Engineer,1993-04-22,49533,2
410517,Abdelwaheb,Zirintsis,Senior Engineer,2002-04-22,49533,2
202438,Abdulah,Antonisse,Senior Engineer,1993-03-25,44429,2
202438,Abdulah,Antonisse,Engineer,1985-03-25,44429,2
471289,Abdulah,Atrawala,Staff,1991-06-01,55654,2
471289,Abdulah,Atrawala,Senior Staff,1999-06-01,55654,2
285180,Abdulah,Baby,Senior Engineer,2000-08-17,59227,2
285180,Abdulah,Baby,Engineer,1995-08-18,59227,2
223892,Abdulah,Birch,Staff,1990-01-06,76719,2
223892,Abdulah,Birch,Senior Staff,1997-01-06,76719,2
35223,Abdulah,Busillo,Engineer,1994-04-26,40000,2
35223,Abdulah,Busillo,Senior Engineer,1999-04-26,40000,2
233030,Abdulah,Businaro,Staff,1986-10-27,53542,2
233030,Abdulah,Businaro,Senior Staff,1993-10-27,53542,2
89770,Abdulah,Cronin,Engineer,1993-05-20,65530,2
89770,Abdulah,Cronin,Senior Engineer,2002-05-20,65530,2
445928,Abdulah,Ermel,Senior Engineer,1995-09-22,48690,2
445928,Abdulah,Ermel,Engineer,1986-09-22,48690,2
477778,Abdulah,Fadgyas,Senior Staff,1997-10-25,79631,2
477778,Abdulah,Fadgyas,Staff,1989-10-25,79631,2
203843,Abdulah,Famili,Technique Leader,1992-06-20,42145,3
17260,Abdulah,Famili,Engineer,1995-05-18,40000,3
17260,Abdulah,Famili,Assistant Engineer,1987-05-18,40000,3
426322,Abdulah,Farrag,Engineer,1993-12-25,40000,2
426322,Abdulah,Farrag,Senior Engineer,1999-12-25,40000,2
498450,Abdulah,Gammage,Engineer,1991-08-30,54972,2
498450,Abdulah,Gammage,Senior Engineer,1996-08-29,54972,2
104691,Abdulah,Garigliano,Senior Staff,1998-11-13,81678,2
104691,Abdulah,Garigliano,Staff,1990-11-13,81678,2
96562,Abdulah,Ghemri,Staff,1987-01-08,51945,2
96562,Abdulah,Ghemri,Senior Staff,1994-01-08,51945,2
271694,Abdulah,Gilg,Staff,1994-08-19,84912,2
271694,Abdulah,Gilg,Senior Staff,2000-08-18,84912,2
258473,Abdulah,Hellwagner,Assistant Engineer,1991-11-23,44989,2
258473,Abdulah,Hellwagner,Engineer,1999-11-23,44989,2
39111,Abdulah,Hiltgen,Senior Engineer,1998-05-28,44904,2
39111,Abdulah,Hiltgen,Engineer,1993-05-28,44904,2
236125,Abdulah,Jumpertz,Senior Engineer,1991-04-06,59417,2
236125,Abdulah,Jumpertz,Engineer,1986-04-06,59417,2
467242,Abdulah,Kalefeld,Senior Staff,1991-10-27,40000,2
467242,Abdulah,Kalefeld,Staff,1985-10-27,40000,2
226693,Abdulah,Khamsi,Senior Engineer,1999-08-15,44172,3
226693,Abdulah,Khamsi,Assistant Engineer,1989-08-15,44172,3
226693,Abdulah,Khamsi,Engineer,1994-08-15,44172,3
413726,Abdulah,Kirkerud,Engineer,1989-04-09,80773,2
413726,Abdulah,Kirkerud,Senior Engineer,1996-04-09,80773,2
436525,Abdulah,Langford,Engineer,1988-07-15,56029,2
436525,Abdulah,Langford,Senior Engineer,1997-07-15,56029,2
273429,Abdulah,Lovengreen,Senior Engineer,2000-04-21,64049,2
273429,Abdulah,Lovengreen,Engineer,1994-04-22,64049,2
255610,Abdulah,Paciorek,Senior Engineer,1996-11-20,68475,2
255610,Abdulah,Paciorek,Engineer,1988-11-20,68475,2
470681,Abdulah,Plump,Engineer,1994-02-05,49719,3
470681,Abdulah,Plump,Senior Engineer,2001-02-05,49719,3
470681,Abdulah,Plump,Assistant Engineer,1987-02-05,49719,3
420337,Abdulah,Ranum,Staff,1985-06-10,58648,2
420337,Abdulah,Ranum,Senior Staff,1992-06-10,58648,2
78479,Abdulah,Restivo,Staff,1991-08-20,56147,2
78479,Abdulah,Restivo,Senior Staff,1998-08-20,56147,2
408551,Abdulah,Schiper,Senior Staff,1996-03-18,98178,2
408551,Abdulah,Schiper,Staff,1991-03-19,98178,2
36412,Abdulah,Senzako,Staff,1989-06-20,61626,2
